"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Aeugst am Albis";"Revenu net, en mio. de francs";114;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"1";"Aeugst am Albis";"Revenu net par habitant/-e, en francs";57603;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"2";"Affoltern am Albis";"Revenu net, en mio. de francs";449;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"2";"Affoltern am Albis";"Revenu net par habitant/-e, en francs";36521;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"3";"Bonstetten";"Revenu net, en mio. de francs";252;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"3";"Bonstetten";"Revenu net par habitant/-e, en francs";45237;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"4";"Hausen am Albis";"Revenu net, en mio. de francs";172;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"4";"Hausen am Albis";"Revenu net par habitant/-e, en francs";45791;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"5";"Hedingen";"Revenu net, en mio. de francs";185;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"5";"Hedingen";"Revenu net par habitant/-e, en francs";48875;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"6";"Kappel am Albis";"Revenu net, en mio. de francs";60;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"6";"Kappel am Albis";"Revenu net par habitant/-e, en francs";49056;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"7";"Knonau";"Revenu net, en mio. de francs";101;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"7";"Knonau";"Revenu net par habitant/-e, en francs";42670;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"8";"Maschwanden";"Revenu net, en mio. de francs";24;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
